25;21;47;(0.0002449315247507579+0j);302198995361586339775257772032;0.0
5;19;44;(0.0004278298141515081-0j);2650285073057229164229420032;1.8952632000464924e-252
21;14;20;(-0.0008411004049420823+0j);106108712687921011516800000;1.2085902893097994e-165
29;47;35;(1.9725078425650778e-05-0j);4370606884620641361510000000000;0.0
97;20;9;(-8.350995776493396e-05+0j);29576913803815841674804687500000;0.0
68;7;43;(-7.668677336063396e-05+0j);10996858933101214526489736424032;0.0
55;19;39;(0.00015723116771823115-0j);5722324000619246763948357189632;0.0
91;35;17;(3.494484192187893e-05-0j);199325852933873708897981112876032;0.0
10;6;23;(-0.0011189092683618557+0j);566446635137047271832576;5.36588917034138e-84
76;39;31;(-0.00011673002132690086+0j);272548816976334479465685312500000;0.0
